"cityName","stationName","pval_women","pval_women_mix"
"Austin","KASE-FM",0.128,0
"Austin","KVET-FM",0,0
"Charlotte","WKKT-FM",0.01,0
"Charlotte","WSOC-FM",0,0.001
"Chicago","WUSN-FM",0.07,0.006
"Cincinnati","WNNF-FM",0,0
"Cincinnati","WUBE-FM",0,0
"Cincinnati","WYGY-FM",0,0
"Columbus","WCOL-FM",0,0
"Dallas","KPLX-FM",0,0
"Dallas","KSCS-FM",0,0
"Greensboro","WPAW-FM",0.002,0.002
"Greensboro","WTQR-FM",0.206,0
"Houston","KILT-FM",0,0.005
"Houston","KKBQ-FM",0.01,0
"Indianapolis","WFMS-FM",0,0
"Indianapolis","WLHK-FM",0.025,0.007
"KansasCity","KBEQ-FM",0,0
"KansasCity","KFKF-FM",0,0
"KansasCity","WDAF-FM",0,0
"LosAngeles","KKGO-FM",0.014,0.025
"Nashville","WKDF-FM",0,0
"Nashville","WSM-FM",0,0
"Philadelphia","WXTU-FM",0,0.001
"SanAntonio","KAJA-FM",0.065,0
"SanAntonio","KCYY-FM",0.013,0.035
"Tampa","WFUS-FM",0,0
"Tampa","WQYK-FM",0.003,0.01
"WashingtonDC","WMZQ-FM",0,0
